id,name,country
1185,Longueil-Annel,FR
1187,Corcy,FR
1188,Paris Gare du Nord 2,FR
1193,Clermont-Ferrand,FR
1198,Conflans—Jarny,FR
1205,Laigneville,FR
1206,Caen,FR
1207,Liancourt-Rantigny,FR
1213,Orry-la-Ville—Coye,FR
1215,Longueil-Ste-Marie,FR
1216,Chevrières,FR
1217,Pont-Ste-Maxence,FR
1219,Rieux-Angicourt,FR
1221,Villers-St-Paul,FR
1239,Chagny,FR
1243,Montataire,FR
1250,Bornel—Belle-Église,FR
1251,Chaulnes,FR
1252,Chambly,FR
1253,Le Meux-la-Croix-St-Ouen,FR
1254,Thourotte,FR
1256,Ribécourt,FR
1257,Châteauroux,FR
1258,Ourscamps,FR
1259,Noyon,FR
1261,Avilly—St-Léonard,FR
1262,Plainval,FR
1263,Domfront Domélien,FR
1264,Bergues,FR
1265,Esquelbecq,FR
1266,Arnèke,FR
1267,Cassel,FR
1268,Gravelines,FR
1269,Bourbourg,FR
1270,Grande-Synthe,FR
1271,Courghain,FR
1272,Pont-d’Ardres,FR
1273,Audruicq,FR
1274,Watten-Éperlecques,FR
1275,Renescure,FR
1276,Ebblinghem,FR
1281,Hellemmes,FR
1282,Loos-les-Lille,FR
1283,Steenwerck,FR
1284,Bailleul,FR
1285,Strazeele,FR
1286,Wambrechies,FR
1287,Quesnoy-sur-Deûle,FR
1288,Comines,FR
1289,Pérenchies,FR
1290,Santes,FR
1291,Wavrin,FR
1292,La Fontaine,FR
1295,Phalempin,FR
1296,Wattignies,FR
1297,Ronchin,FR
1298,Rosult,FR
1299,Landas,FR
1301,Templeuve,FR
1302,Fretin,FR
1303,Tressin,FR
1304,Cysoing,FR
1305,Genech,FR
1306,Pont-de-Bois,FR
1307,Lesquin,FR
1308,Annappes,FR
1309,Baisieux,FR
1313,Mouscron,BE
1314,Lezennes,FR
1315,Mont-de-Terre,FR
1316,Chambourg,FR
1317,Chambourg,FR
1318,Nieppe,FR
1319,Marquette,FR
1320,Deûlémont,FR
1321,Ste-Marguerite,FR
1322,Clisson,FR
1323,Anstaing,FR
1324,Bouvines,FR
1325,Cobrieux,FR
1326,Lille Porte de Douai,FR
1328,Ennevelin,FR
1329,Challans,FR
1330,Nortkerque,FR
1331,Ruminghem,FR
1332,Casino—Lacroix-Laval,FR
1335,Recquignies,FR
1337,Anor,FR
1338,Charmes-sur-Rhône,FR
1339,Chambéry Challes-les-Eaux,FR
1340,Le Cateau,FR
1341,Louvroil,FR
1342,Hautmont,FR
1343,Landrecies,FR
1344,Sains-du-Nord,FR
1345,Avesnelles,FR
1346,Avesnes,FR
1347,Dompierre (Hauts-de-France),FR
1348,Velle-le-Châtel,FR
1349,Colmar,FR
1350,Leval,FR
1351,Berlaimont,FR
1352,Le Quesnoy,FR
1354,Quevy Frontière,BE
1355,Marle-sur-Serre,FR
1356,Vervins,FR
1357,Origny-en-Thiérache,FR
1358,Crépy-Couvron,FR
1359,Cognac,FR
1360,Clacy-Mons,FR
1361,Bohain,FR
1362,Fresnoy-le-Grand,FR
1363,Athiès-sous-Laon,FR
1364,Samoussy,FR
1366,Bucy-Les-Pierrepont,FR
1367,Clermont-lès-Fermes,FR
1368,Montcornet,FR
1369,Rozoy-sur-Serre Place Neuville,FR
